experiment_id,support_id,query_id,support_gsd,query_gsd,scene_type,prompt_type,prob_mean,prob_std,p90,p95,p99,prob_max,fg_ratio@0.3,fg_ratio@0.5,fg_ratio@0.7,IoU,Precision,Recall,F1,runtime_ms,peak_gpu_memory_mb,model_version,checkpoint_digest,seed
Q01-building-01,building-01,Q01,1.0,1.0,positive,building,0.1687505841255188,0.13211309909820557,0.35587048530578613,0.4315603971481323,0.5330122113227844,0.7010754942893982,0.16650390625,0.02158355712890625,1.52587890625e-05,,,,,248.7988700158894,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q01-vegetation-control,vegetation-control,Q01,1.0,1.0,positive,wrong_vegetation,0.20755980908870697,0.21287332475185394,0.5301035642623901,0.5621193051338196,0.6117714643478394,0.6899592876434326,0.3601570129394531,0.14789199829101562,0.0,,,,,244.1709180129692,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q02-building-01,building-01,Q02,1.0,1.0,positive,building,0.15561404824256897,0.14887948334217072,0.39560702443122864,0.4854043126106262,0.5775878429412842,0.7803823947906494,0.16874313354492188,0.04290771484375,0.000698089599609375,,,,,246.0383001016453,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q02-vegetation-control,vegetation-control,Q02,1.0,1.0,positive,wrong_vegetation,0.12154308706521988,0.16880452632904053,0.399192214012146,0.545203685760498,0.6032285094261169,0.6500586271286011,0.1573944091796875,0.06723403930664062,0.0,,,,,247.34310491476208,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q03-building-01,building-01,Q03,1.0,1.0,positive,building,0.0935756117105484,0.09118828177452087,0.22934956848621368,0.2808225750923157,0.3626815676689148,0.550104558467865,0.03693389892578125,0.00049591064453125,0.0,,,,,244.5774289080873,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q03-vegetation-control,vegetation-control,Q03,1.0,1.0,positive,wrong_vegetation,0.11475756764411926,0.1283896565437317,0.3299410343170166,0.401574969291687,0.46017467975616455,0.636340320110321,0.12435531616210938,0.000858306884765625,0.0,,,,,249.7874009422958,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q04-building-01,building-01,Q04,1.0,1.0,positive,building,0.07043106853961945,0.08240017294883728,0.19809813797473907,0.2512052655220032,0.3302778899669647,0.5151248574256897,0.018291473388671875,0.000202178955078125,0.0,,,,,242.72061290685087,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q04-vegetation-control,vegetation-control,Q04,1.0,1.0,positive,wrong_vegetation,0.14116835594177246,0.14190132915973663,0.36246031522750854,0.39964911341667175,0.46690747141838074,0.6592788696289062,0.19504928588867188,0.00234222412109375,0.0,,,,,244.60823193658143,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q05-building-01,building-01,Q05,1.0,1.0,negative,building,0.1835820972919464,0.18174433708190918,0.46340352296829224,0.5343775749206543,0.6127848625183105,0.7146769165992737,0.2732200622558594,0.07379913330078125,1.52587890625e-05,,,,,247.17059801332653,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q05-vegetation-control,vegetation-control,Q05,1.0,1.0,negative,wrong_vegetation,0.3535611629486084,0.24735331535339355,0.6653558015823364,0.7054740786552429,0.7623019218444824,0.8363013863563538,0.5655403137207031,0.3831787109375,0.056041717529296875,,,,,245.87236996740103,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
