experiment_id,query_id,support_id,prompt,prompt_type,query_region,support_region,support_gsd,query_gsd,GSD_METADATA_CONFLICT,seed,slot_id,checkpoint_digest,model_version,model_git_commit,runtime_ms,wall_ms,peak_gpu_memory_mb,prob_mean,prob_std,prob_max,p90,p95,p99,valid_pixels,fg_ratio@0.3,fg_ratio@0.5,fg_ratio@0.7,IoU,Precision,Recall,F1,false_positive_area,gt_status,TP,FP,FN,false_negative_area,area_units,core_prob_mean,core_prob_std,core_prob_max,core_p90,core_p95,core_p99,core_valid_pixels,core_fg_ratio@0.3,core_fg_ratio@0.5,core_fg_ratio@0.7,core_IoU,core_Precision,core_Recall,core_F1,core_false_positive_area,core_gt_status,core_TP,core_FP,core_FN,core_false_negative_area,common_core
Q-urban-1-1m__P1-1m,Q-urban-1-1m,P1-1m,P1,building,urban,urban,1.0,1.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,248.17830801475793,784.7000829933677,11501.28173828125,0.07056614011526108,0.16276848316192627,0.9890762567520142,0.26524055004119873,0.4668910801410675,0.7721756100654602,262121,0.09129371549780445,0.042091247935113936,0.01614521537763094,0.22750601072683557,0.8919604821897943,0.23395302396348422,0.37068007608716125,1192.0,official_human_vectors,9841,1192,32223,32223.0,m2,0.07058203220367432,0.1627885401248932,0.9890762567520142,0.26528283953666687,0.4669701159000397,0.7722815871238708,262033,0.09130910992126946,0.042105383673048814,0.016150637515122142,0.22755335630217124,0.8919604821897943,0.2340030911901082,0.3707429174201326,1192,human_approved,9841,1192,32214,32214,
Q-urban-1-1m__P1-2m,Q-urban-1-1m,P1-2m,P1,building,urban,urban,2.0,1.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,241.58479901961982,701.5444170101546,11501.28173828125,0.028900180011987686,0.09184365719556808,0.9602079391479492,0.07517953962087631,0.13803265988826752,0.5207003951072693,262121,0.0169005917114615,0.010537118353737397,0.006336768133800802,0.06169915444920774,0.943157132512672,0.06192944085203499,0.11622718957747735,157.0,official_human_vectors,2605,157,39459,39459.0,m2,0.028905577957630157,0.09185758233070374,0.9602079391479492,0.07520941644906998,0.13805437088012695,0.5209625363349915,262033,0.01690626753118882,0.01054065709280892,0.006338896245892693,0.061712309295934804,0.943157132512672,0.06194269409107122,0.11625052993283798,157,human_approved,2605,157,39450,39450,
Q-urban-1-1m__P2-1m,Q-urban-1-1m,P2-1m,P2,building,urban,urban,1.0,1.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,244.82008500490338,1118.4973329945933,11501.28173828125,0.04474756866693497,0.0823303610086441,0.7698342204093933,0.12538191676139832,0.18676486611366272,0.38596054911613464,262121,0.015126601836556399,0.0070921444676313615,0.004181275059991378,0.04407045567995436,0.9973103819257665,0.04407569418029669,0.08442046308312273,5.0,official_human_vectors,1854,5,40210,40210.0,m2,0.044743046164512634,0.08233742415904999,0.7698342204093933,0.12536989152431488,0.18676738440990448,0.3862001597881317,262033,0.015131681887395863,0.007094526261959371,0.004182679280853938,0.04407988587731812,0.9973103819257665,0.04408512661990251,0.08443776472195655,5,human_approved,1854,5,40201,40201,
Q-urban-1-1m__P2-2m,Q-urban-1-1m,P2-2m,P2,building,urban,urban,2.0,1.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,247.05543008167297,817.0059169933666,11501.28173828125,0.011933269910514355,0.034120652824640274,0.5305657982826233,0.02610446885228157,0.06274507194757462,0.18747402727603912,262121,0.0015069376356720752,4.196535187947551e-05,0.0,0.0,0.0,0.0,0.0,11.0,official_human_vectors,0,11,42064,42064.0,m2,0.011919948272407055,0.03410004451870918,0.5305657982826233,0.02605428732931614,0.06255463510751724,0.18746650218963623,262033,0.0015074437189208992,4.19794453370377e-05,0.0,0.0,0.0,0.0,0.0,11,human_approved,0,11,42055,42055,
Q-urban-1-1m__P3-1m,Q-urban-1-1m,P3-1m,P3,building,urban,urban,1.0,1.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,244.66748407576233,778.6770830280147,11501.28173828125,0.012362885288894176,0.04722680151462555,0.6758859157562256,0.02368609607219696,0.041922666132450104,0.2251003235578537,262121,0.007176075171390312,0.003975263332583043,0.0,0.024771776340813997,1.0,0.024771776340813997,0.048345937920475104,0.0,official_human_vectors,1042,0,41022,41022.0,m2,0.012365322560071945,0.04723428189754486,0.6758859157562256,0.023690728470683098,0.04192745313048363,0.22522911429405212,262033,0.007178485152633447,0.0039765983673812075,0.0,0.024777077636428488,1.0,0.024777077636428488,0.04835603406269578,0,human_approved,1042,0,41013,41013,
Q-urban-1-1m__P3-2m,Q-urban-1-1m,P3-2m,P3,building,urban,urban,2.0,1.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,245.52972300443798,708.1004589854274,11501.28173828125,0.011953139677643776,0.046857286244630814,0.667332112789154,0.022950902581214905,0.04752182215452194,0.18088801205158234,262121,0.0076109888181412405,0.0036242803895910666,0.0,0.022584632940281475,1.0,0.022584632940281475,0.044171665039289536,0.0,official_human_vectors,950,0,41114,41114.0,m2,0.01195292267948389,0.04686422646045685,0.667332112789154,0.022942934185266495,0.047521818429231644,0.18089815974235535,262033,0.007613544858853656,0.0036254975518350743,0.0,0.0225894661752467,1.0,0.0225894661752467,0.04418090919660505,0,human_approved,950,0,41105,41105,
Q-urban-1-1m__W-vegetation-1m,Q-urban-1-1m,W-vegetation-1m,W-vegetation,wrong,urban,outskirts,1.0,1.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,242.28628096170723,679.882041993551,11501.28173828125,0.03191027417778969,0.10094263404607773,0.817736804485321,0.05157378688454628,0.19400528073310852,0.5564000606536865,262121,0.03719656189317148,0.01604602454591582,0.00446740245916962,0.0,0.0,0.0,0.0,4206.0,official_human_vectors,0,4206,42064,42064.0,m2,0.03191976249217987,0.10095823556184769,0.817736804485321,0.05160025507211685,0.19405655562877655,0.5564271807670593,262033,0.037209053821465235,0.016051413371598235,0.004468902771788286,0.0,0.0,0.0,0.0,4206,human_approved,0,4206,42055,42055,
Q-urban-1-1m__W-field-1m,Q-urban-1-1m,W-field-1m,W-field,wrong,urban,outskirts,1.0,1.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,243.2152930414304,661.605375004001,11501.28173828125,0.027388473972678185,0.06390486657619476,0.6236781477928162,0.057952094823122025,0.1292809396982193,0.34751567244529724,262121,0.015855272946463658,0.002842198831837205,0.0,0.0,0.0,0.0,0.0,745.0,official_human_vectors,0,745,42064,42064.0,m2,0.0273944940418005,0.06391454488039017,0.6236781477928162,0.057964734733104706,0.1293419599533081,0.34756770730018616,262033,0.015860597710975335,0.0028431533432811897,0.0,0.0,0.0,0.0,0.0,745,human_approved,0,745,42055,42055,
Q-urban-1-1.5m__P1-1m,Q-urban-1-1.5m,P1-1m,P1,building,urban,urban,1.0,1.5,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,248.42066201381385,802.8950419975445,11501.28173828125,0.09106136858463287,0.1698741465806961,0.8974499106407166,0.3423435091972351,0.5172495245933533,0.7204307913780212,262120,0.11960933923393866,0.0538417518693728,0.013383183274835952,0.2110758683189188,0.7591582229150429,0.22622466216216217,0.3485757975045955,7647.75,official_human_vectors,10714,3399,36646,82453.5,m2,0.0563519261777401,0.12562386691570282,0.8543438911437988,0.20196819305419922,0.32855144143104553,0.6505116820335388,262033,0.05955356768040666,0.021398068182251855,0.006689997061438827,0.12702766611492078,0.9580881041555199,0.1277374866246582,0.22542067055515924,235,human_approved,5372,235,36683,36683,
Q-urban-1-1.5m__P1-1.5m,Q-urban-1-1.5m,P1-1.5m,P1,building,urban,urban,1.5,1.5,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,246.89961003605276,786.787709017517,11501.28173828125,0.03604990243911743,0.0769134908914566,0.5393186211585999,0.12576769292354584,0.21471662819385529,0.3780486583709717,262120,0.0234701663360293,0.00011445139630703495,0.0,0.000633445945945946,1.0,0.000633445945945946,0.0012660898923823592,0.0,official_human_vectors,30,0,47330,106492.5,m2,0.016234571114182472,0.03877708315849304,0.4761013984680176,0.05116396024823189,0.09613640606403351,0.19104334712028503,262033,0.001568504730320227,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
